ID	Type	Title	Games	Authors	Date	Tags	Description	Update	Embed	URL										
atomencd	Tool	AtomEncd	"P3FES, P4, P4D, P4G, P5, P5D, P5R, CFB, PQ, PQ2"	Du'Slingr	8/31/2016	Sound	"A GUI interface for creating custom ADX and HCA audio files using <a href=""https://www.mediafire.com/?9f7d1oydfccf95v"">CriAtomEncoder</a>."		http://i.imgur.com/FpXO5a3.png	https://drive.google.com/open?id=0B1u1OW7aCWULcENyRTNlUUFad1U										
personafont	Tool	PersonaFont	"P3FES, P4, P4D, P4G, P5, P5D, P5R, CFB, SMT3, PQ, PQ2"	Meloman19	8/31/2016	Font	"A tool to decompress and recompress Persona 3, 4 and 5's .FNT files."		https://raw.githubusercontent.com/Meloman19/PersonaFont/master/cut_table.jpg	https://github.com/Meloman19/PersonaFont/releases/download/v1.1/PersonaFont.exe										
p4gsaveeditor	Tool	P4G Save Editor	P4G	Fendroidus	10/18/2016	"Saves, GUI"	Edits decrypted savedata bin files dumped from P4G.		http://i.imgur.com/1Qe1hPK.gif	http://www.mediafire.com/download/q3utqcbuqhbuaqi/P4G+Save+Tool.exe										
rmdmaxscript	Tool	RMD Maxscript	"P3FES, P4"	TGE	7/9/2017	"RMD, PAC"	"A tool for loading model and animation data from RMDs in 3DSMax. Extract the included scripts, EXE and folder to the same directory together to extract textures when loading the model. Can be used with Amicitia for model hacking, but make sure to export with the axis set to Z-up instead of Y-up."		https://i.imgur.com/4zqdXCI.png	https://cdn.discordapp.com/attachments/316238229948989450/398543176564211713/RMD_Maxscript_V4.7z										
bfmessagescripteditor	Tool	BFMessageScriptEditor	"P3FES, P4"	TGE	1/1/2018	Script	tool for extracting and replacing BMD files within BF scripts (as decompiled MSG files) without the need for recompiling the BF itself. Useful as an alternative to the compiler to avoid issues when all you want to do is simple text edits.			https://drive.google.com/open?id=1DON5MCJ9byklZ1vPuLyAysd7HTaiNDrE										
pkgview	Tool	PKGView	P5		1/1/2018	PKG	A program for extracting the contents of Playstation Network PKG files.		https://i.imgur.com/87kBabP.png	https://cdn.discordapp.com/attachments/143149082582581258/225713764937236480/PkgView.exe										
cripakgui	Tool	CriPakGUI	P5	CaptainSwag101	1/1/2018	CPK	A GUI for extracting files from CPK archives.		https://i.imgur.com/wYEuTvc.png	https://github.com/jpmac26/CriPakTools/releases										
dcmoviecreator	Tool	DCMovieCreator	"P3FES, P4"		1/1/2018	FMV	A tool for making custom SFD video files. Used for the animated cutscenes and openings.		https://media.discordapp.net/attachments/143149937247387649/548494423093149697/unknown.png	https://mega.nz/#!gKhQiAJL!e-Z1Vk6RDP71OeK-JQpYZc9aoCMhijn40j1gxGZW2qM										
puyotools	Tool	PuyoTools	"P3FES, P4"		1/1/2018	"Voice, Sound, ACX"	A tool for packing/unpacking ADX files in AFS Archives. Useful for cutscene voice clips and battle sounds.		http://i.imgur.com/IuNB1jm.png	https://code.google.com/archive/p/puyotools/downloads										
umdgen	Tool	UMDGen	P3P		1/1/2018	"UMD, ISO"	A program for extracting and replacing files from PSP UMDs/ISOs.		https://i.imgur.com/JgUVtWE.png	http://www.theisozone.com/downloads/playstation/psp-homebrew/umdgen-v400/										
